Episodes, train_final_pv, train_log_return, test_final_pv, test_log_return
1,44772.195,-0.804,99252.461,-0.008
2,44557.945,-0.808,109278.625,0.089
3,57108.926,-0.560,120499.008,0.186
4,75236.578,-0.285,119539.070,0.178
5,75377.531,-0.283,121392.406,0.194
6,86540.547,-0.145,123477.406,0.211
7,85469.133,-0.157,127659.961,0.244
8,92610.242,-0.077,128146.078,0.248
9,103707.633,0.036,129042.359,0.255
10,98119.344,-0.019,132963.484,0.285
11,107881.281,0.076,135023.969,0.300
12,112999.266,0.122,132172.406,0.279
13,110599.055,0.101,132443.391,0.281
14,110483.172,0.100,130645.352,0.267
15,109450.031,0.090,135693.797,0.305
16,112537.727,0.118,133851.672,0.292
